timestamp,amount0,amount1,price,price_change,cumulative_change,signal
2024-09-03 06:00:00,-303841.796833,120.65718223319209,2518.223873700035,6350750.58657315,6357780.049201963,1
2024-09-03 06:20:00,-118167.57427699999,46.983250624319524,2515.1000134467913,6332751.642306202,6349893.212229419,1
2024-09-03 06:30:00,-99395.786544,39.537900022651435,2513.9369184265156,6336534.267992966,6346956.735427379,1
2024-09-03 06:45:00,-19709.947831,7.835982696693393,2515.3128323416477,6339977.138034162,6350430.517391049,1
2024-09-03 07:10:00,-103346.011023,41.08246702380788,2515.5746115029924,6334614.788039231,6351091.4350192025,1
2024-09-03 07:25:00,-46744.900298,18.570238256462485,2517.194429733968,6342205.706384811,6355181.005600584,1
2024-09-03 07:50:00,-152228.898323,60.41472821559442,2519.7315757137885,6447695.788453785,6361586.560194143,1
2024-09-03 08:25:00,-199347.97398,79.27641267539776,2514.5937770449173,6345315.071845306,6348615.116469054,1
2024-09-03 08:55:00,-274920.837852,110.02131200499055,2498.7962135875064,6258357.351653027,6308730.873922383,1
2024-09-03 09:05:00,-64897.95534699998,26.31978628810828,2465.747808002604,6171134.516474329,6225293.285232866,1
2024-09-03 09:25:00,-162574.523187,65.01986557736095,2500.3823330512437,6256294.923033854,6312735.362920216,1
2024-09-03 09:40:00,-173970.675702,69.5202403660466,2502.446406772877,6270447.9493690515,6317946.5475952225,1
2024-09-03 09:55:00,-255450.912997,101.99138504312688,2504.6322578027844,6281635.903590277,6323465.183682316,1
2024-09-03 10:05:00,-91786.568707,36.662083774412906,2503.582973400421,6302416.781544238,6320816.044477685,1
2024-09-03 10:30:00,-244311.08091100003,97.36093273670834,2509.333816384922,6301890.601398063,6335335.246796808,1
2024-09-03 11:05:00,-378079.64424,151.07547932147293,2502.5877524140487,6276558.899051802,6318303.400574299,1
2024-09-03 11:35:00,-173663.550768,69.27499299887609,2506.8721518429816,6290545.031669029,6329120.259605308,1
2024-09-03 11:45:00,-112126.239849,44.80601310721701,2502.4819677816763,6279576.351427962,6318036.323543122,1
2024-09-03 12:10:00,-181204.298713,72.231944589548,2508.644890327657,6310940.969950326,6333595.906575941,1
2024-09-03 12:25:00,-4185.024896000001,1.6721643616468913,2502.7592932779817,6287281.699046562,6318736.492000927,1
2024-09-03 12:40:00,-85886.63697800002,34.30238845569401,2503.809234419165,6308150.852363124,6321387.287726873,1
2024-09-03 12:55:00,-447207.452535,178.02027702899426,2512.1152488834914,6334501.067086895,6342357.554435222,1
2024-09-03 13:10:00,-56905.52278800001,22.65218297555609,2512.142995198591,6319598.960803919,6342427.603872751,1
2024-09-03 13:45:00,-737359.899177,298.006297821192,2474.309786632182,6160033.493451596,6246909.781818088,1
2024-09-03 14:00:00,-639686.885421,260.2849344097298,2457.640842224204,6105830.480837689,6204825.557124937,1
2024-09-03 14:10:00,-613278.650853,249.74399879308407,2455.629179546808,6062089.7853954835,6199746.695028245,1
2024-09-03 14:25:00,-352403.649308,143.38460478217206,2457.750954806946,6058726.717851997,6205103.558274658,1
2024-09-03 14:45:00,-756388.881604,308.8827753996894,2448.789449736214,6037999.175516367,6182478.369513589,1
2024-09-03 15:00:00,-175843.111494,72.07952307197219,2439.57096273263,5983167.538964948,6159204.377314168,1
2024-09-03 15:15:00,-88955.48879100001,36.55140322948943,2433.709267808118,5972481.934246418,6144405.308396607,1
2024-09-03 15:35:00,-125831.38465099996,51.525537092643205,2442.116894866218,5992759.830142426,6165632.1144328,1
2024-09-03 15:50:00,-285124.844647,117.00022309725364,2436.9598373329322,5985181.899024104,6152612.046426065,1
2024-09-03 16:05:00,-630167.444722,258.17569952156276,2440.8472442983298,5974045.195758074,6162426.614257863,1
2024-09-03 16:20:00,-48328.29933300001,19.81213260049951,2439.3284815679835,5966196.782156633,6158592.180403152,1
2024-09-03 16:50:00,-525256.187255,215.19833403335448,2440.8004346984785,5974960.1589342095,6162308.434730342,1
2024-09-03 17:00:00,-253811.84005399997,104.35506909014345,2432.1946434126125,5954362.602400197,6140581.321424232,1
2024-09-03 17:30:00,-42207.382874,17.334801187967205,2434.835128267746,5977478.620769643,6147247.777618738,1
2024-09-03 18:40:00,-34791.155654,14.429235553656069,2411.157231762333,5916836.300139213,6087467.994651221,1
2024-09-03 19:15:00,-86830.897328,35.368503913086094,2455.0345002258687,6040245.996530933,6198245.304762522,1
2024-09-03 19:25:00,-487287.811373,198.13178503353365,2459.4126141372367,6059036.80858257,6209298.76782837,1
2024-09-03 19:40:00,-52083.815105,21.25370731110676,2450.575532193485,6044007.239420186,6186987.713485051,1
2024-09-03 20:10:00,-24877.42829200002,10.140355915098931,2453.3091836508097,6039333.224850698,6193889.388205551,1
2024-09-03 20:25:00,-171561.686674,69.7970375015091,2458.0081449773656,6081199.523207241,6205752.895985792,1
2024-09-03 20:35:00,-57711.958096,23.553239653555348,2450.276859781725,6032507.014788009,6186233.653446674,1
2024-09-03 21:00:00,-168302.48863500002,68.45656004365415,2458.5297380948587,6051989.604306997,6207069.766698665,1
2024-09-03 21:15:00,-307718.100401,125.10399270705123,2459.698477582291,6060221.108665187,6210020.4934256235,1
2024-09-03 22:00:00,-171030.66574499998,69.4459765949295,2462.7872503342046,6069183.969825299,6217818.743966602,1
2024-09-03 22:25:00,-215956.549256,87.81907819040273,2459.107448016924,6056719.9306425415,6208528.316799994,1
2024-09-03 22:50:00,-41761.836190999995,17.04451649997417,2450.1625605550785,6022663.888797042,6185945.082887193,1
2024-09-03 23:25:00,-388743.977204,159.0498297382079,2444.164686273874,6023789.908877536,6170802.197421274,1
2024-09-03 23:45:00,-331308.004694,135.60199674727215,2443.238393542791,5981231.867776373,6168463.578884485,1
2024-09-04 00:25:00,-399523.595745,163.60224792413516,2442.042214054816,5977016.532402055,6165443.5746219875,1
2024-09-04 00:35:00,-944768.919096,387.46866522130335,2438.3105110096935,5961801.369656941,6156022.111976122,1
2024-09-04 00:50:00,-884982.223121,364.18514765447884,2430.0338133520704,5915627.692313765,6135125.863076525,1
2024-09-04 06:15:00,34023.477578,-14.277357852586276,0.00041963252638872495,0.011233049579526533,0.05944977922202077,1
2024-09-04 07:25:00,-28214.038493,11.858768641056251,2379.1710039202685,5883881.358534081,6006712.102808143,1
2024-09-04 08:05:00,-49689.87579700001,20.708048658837765,2399.544091074627,5777640.317646311,6058148.207095265,1
2024-09-04 08:30:00,-289720.280827,120.49431688673337,2404.431082831415,5782965.890109878,6070486.436611182,1
2024-09-04 09:00:00,212632.559718,-88.43969073135426,0.000415927320108669,0.004633736611096451,0.050095213497090674,1
2024-09-04 09:50:00,-206847.05515099998,86.3697981932761,2394.900294754921,5763765.663543662,6046423.976391759,1
2024-09-04 11:05:00,301470.30014300003,-125.85062257806251,0.0004174561226043371,0.00532567359217806,0.053954993977492594,1
2024-09-04 12:10:00,-564944.350515,235.52293019532533,2398.6808844747175,5773621.471115112,6055968.865720081,1
2024-09-04 12:30:00,-103775.03032500001,43.26104626831076,2398.8099982920776,5771154.552862845,6056294.839583928,1
2024-09-04 12:45:00,-273866.354059,113.98081754378521,2402.740741474288,5794945.004941201,6066218.821618446,1
2024-09-04 13:20:00,-88538.848422,36.907105212954534,2398.964858152097,5799194.723627227,6056685.817055217,1
2024-09-04 13:50:00,-42156.237660999985,17.6899687421035,2383.058911837694,5825999.863178663,6016527.939630341,1
2024-09-04 14:00:00,-149666.45521400002,62.5595252858007,2392.3847652336676,5753386.014478439,6040073.001321759,1
2024-09-04 14:10:00,-801794.2700530001,332.2064880921384,2413.5418746867467,5822090.942455486,6093488.53341375,1
2024-09-04 14:55:00,-78916.840368,32.50506755482191,2427.8319137439603,5939142.175670392,6129566.71618825,1
2024-09-04 15:05:00,-224613.150827,92.24193812954499,2435.043705516598,5955422.131831022,6147774.386144109,1
2024-09-04 15:25:00,-408618.801411,167.90980201649586,2433.561331761063,5932659.128433085,6144031.825920401,1
2024-09-04 15:35:00,-79665.19669400001,32.88968843953206,2422.193717051017,5969133.43961888,6115331.9149595015,1
2024-09-04 16:10:00,-348746.745865,142.0496514463338,2455.1045519232134,6075916.848889394,6198422.1791105345,1
2024-09-04 16:35:00,-399031.942872,160.79666177602095,2481.5934514102346,6166150.385564022,6265298.92552928,1
2024-09-04 17:00:00,-438057.45457199996,177.08569844336083,2473.7031754831883,6317693.163754737,6245378.2807928175,1
2024-09-04 17:15:00,-16475.12852099999,6.716896116965891,2452.7889421106634,6080204.675054275,6192575.940783292,1
2024-09-04 17:50:00,-445632.861548,181.7189835638565,2452.3187000515195,6023323.701614353,6191388.71580879,1
2024-09-04 18:15:00,-100607.38623100003,41.12629123703802,2446.3034036094605,6003181.630779783,6176201.846996832,1
2024-09-04 18:35:00,-595201.199746,243.29600925589,2446.4075739112873,6004579.004595381,6176464.845416166,1
2024-09-04 18:50:00,-173781.843945,71.09985650079732,2444.1940180716288,5980119.043994637,6170876.261223717,1
2024-09-04 19:10:00,-94064.869833,38.52137947840605,2441.887365059966,6067426.255756999,6165052.634641283,1
2024-09-04 19:25:00,-26184.71066600001,10.74939505503596,2435.9241177700314,5966868.482862441,6149997.174052685,1
2024-09-04 19:45:00,-270896.03507,110.72614212847172,2446.540896870485,5998858.8851083275,6176801.445620982,1
2024-09-04 20:00:00,-3970.732102000038,1.7025642784574018,2332.2068671602206,5718880.442899136,5888141.356870716,1
2024-09-04 20:10:00,-106670.407242,43.488219707232666,2452.857531536507,6031379.587801598,6192749.10739278,1
2024-09-04 20:35:00,-96476.841186,39.33110142621849,2452.9402352736456,6017796.779791378,6192957.909220399,1
2024-09-04 20:50:00,-122018.999396,49.794157980510406,2450.46817427375,6020011.902814775,6186716.6747868825,1
2024-09-04 21:00:00,-181540.355559,74.06755534510239,2451.0104959337514,6042254.775334326,6188085.879894677,1
2024-09-04 21:55:00,-8374.789017999998,3.404638240731165,2459.8175858476716,6057189.94549293,6210321.213442697,1
2024-09-04 22:15:00,-362586.071848,147.14438487008803,2464.151602985889,6077968.135231415,6221263.3418581085,1
2024-09-04 22:25:00,-230443.94306,93.63368156150071,2461.1223142885738,6079665.129965214,6213615.270031849,1
2024-09-04 22:40:00,-191722.84190899998,77.95489179035594,2459.4074535386458,6064260.756375827,6209285.748435402,1
2024-09-04 22:55:00,-6399.139855000018,2.6484738407768003,2416.161245951043,5953120.450901358,6100101.685073274,1
2024-09-04 23:15:00,-156020.600892,63.36176375086477,2462.377807307654,6071302.471667532,6216785.029199086,1
